[MM] === BTC 15-min Market Maker ===
[MM] UTC: 2026-03-30 07:53:14.398396+00:00
[MM] size=5.0  cancel=5s  poll=1.0s
[MM] Balance: $0.96
[MM] Balance $0.96 < $5.50, waiting for settlements...
[MM] discovery btc-updown-15m-1774857600: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[MM] next: Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET in 1263s, sleeping 363s

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET
[MM] start=2026-03-30T08:15:00+00:00  deadline=2026-03-30T08:14:55+00:00
[MM] up=4352110618492235...  dn=3182013476469627...
[MM] Available balance: $15.96
[UP] BUY 5sh @ 0.49  oid=0xbe2d71a18447990262e1db5eafbfe739b07ba32df4dccf65e35b04f710d9e96e
[DN] BUY 5sh @ 0.50  oid=0x53e37d7afb3202e0e3d4617311d6a1d41d83d966126b31685bb1c69b1baf84fb
[FLAT-DN] MARKET BUY 5.0sh => {'errorMsg': '', 'orderID': '0x8f633e850c2cb582a089b66f2d6999f9211b31d6d0b74ed6fe2b211f6a2654d3', 'takingAmount': '7.734375', 'makingAmount': '4.95', 'status': 'matched', 'transactionsHashes': ['0xf4c5f9f8cab7342eebaedfe260b46a3da74d05728f71cb27e6e9cb15c016d5ad'], 'success': True}
[MM] next: Bitcoin Up or Down - March 30, 4:30AM-4:45AM ET in 900s, sleeping 0s

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 4:30AM-4:45AM ET
[MM] start=2026-03-30T08:30:00+00:00  deadline=2026-03-30T08:29:55+00:00
[MM] up=9548759585207193...  dn=7045445992183918...
[MM] Available balance: $8.56
[UP] BUY 5sh @ 0.48  oid=0xf9fb0cd5d717433ca6cbc4776e0884a1aaa6388f7de3a4ec3bf94df325bd39aa
[DN] BUY 5sh @ 0.50  oid=0x720da5db94c842709242f80e5cdbdb22628f876fda1477702ca125c5ffe15e47
[MM] UP DONE 5.0@0.48
[DN] cancelled 0x720da5db94c842...
[DN] BUY 5sh @ 0.52  oid=0x4c135191f99e98b90ac6afeff12c5cbe23634591a0d09d684bc22bdb3a143ec4
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.52(=0.48) | 892s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.52(=0.48) | 890s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.52(=0.48) | 881s
[MM] bb=0.47 ba=0.48 sp=0.01 | UP=DONE DN=0.52(=0.48) | 871s
[MM] DN DONE 5.0@0.52
[MM] BOTH DONE EARLY  profit=$0.0000
[MM] next: Bitcoin Up or Down - March 30, 4:45AM-5:00AM ET in 1770s, sleeping 870s

[MM] Signal 15, stopping...
[MM] shutdown
